,Title,Price,Link
0,"HP Pavilion x360, 13th Gen
                                        Intel Core i7-1355U, 14-inch (35.6 cm), FHD, Touchscreen, 16GB DDR4, 512GB SSD,
                                        FPR, 5 MP Camera, Backlit KB, Audio by B&O, Pen (Win 11, MSO 2021, Gold,
                                        1.51 kg), ek1020TU  ","88,490",https://amazon.in//HP-Pavilion-x360-multitouch-Enabled-14-ek1020TU/dp/B0CBBRTSCZ/ref=sr_1_113?crid=2GBCZSU9R85XX&dib=eyJ2IjoiMSJ9.PXkbWX6kQRkcVxyeuv9xYiqr5d46MqF83zYcKZqKMJ6rGnwsstLyUL6Cwgr3LHA0_Q3IB4LOWookwCtyom5mhMkbCSliUsyXkGyKwNHR2saJVMNEjnuibsYCUokPR2kWJHObU5KfUOdtqn3dEzMY9AH5nWWm8zjkqrj5GJPya1ooaqvMVHZpA5wg0rCB_BP99uEdq-amllsmBdItBidF28Zz93SY_tY2Cia_HM750aQ.fd6vHIenfa6LZ_Rcl00wzNlSlnI-_aApCXzSBxrLySo&dib_tag=se&keywords=Laptop&qid=1732391179&sprefix=laptop%2Caps%2C259&sr=8-113
1,"Acer Aspire 3 Intel Core i5-1235U Processor Laptop with 35.56 cm(14"") FHD LED-Backlit IPS Display (16GB RAM/1TB SSD/WiFi 6/Intel Graphics/Win11Home) A324-51, Backlit Keyboard, Steel Gray, 1.45KG  ","44,990",https://amazon.in//Acer-Processor-LED-Backlit-Win11Home-A324-51/dp/B0DB5X7V65/ref=sr_1_114?crid=2GBCZSU9R85XX&dib=eyJ2IjoiMSJ9.PXkbWX6kQRkcVxyeuv9xYiqr5d46MqF83zYcKZqKMJ6rGnwsstLyUL6Cwgr3LHA0_Q3IB4LOWookwCtyom5mhMkbCSliUsyXkGyKwNHR2saJVMNEjnuibsYCUokPR2kWJHObU5KfUOdtqn3dEzMY9AH5nWWm8zjkqrj5GJPya1ooaqvMVHZpA5wg0rCB_BP99uEdq-amllsmBdItBidF28Zz93SY_tY2Cia_HM750aQ.fd6vHIenfa6LZ_Rcl00wzNlSlnI-_aApCXzSBxrLySo&dib_tag=se&keywords=Laptop&qid=1732391179&sprefix=laptop%2Caps%2C259&sr=8-114
2,"ASUS ROG Strix Scar 16 (2024), Intel Core i9 14900HX 14th Gen, 16""(40.64cm) 2.5K QHD+240Hz, Gaming Laptop (32GB DDR5/2TB SSD/12GB RTX 4080/Win11/Per-Key RGB/90WHr/Black/2.65Kg),G634JZR-CM932WS  ","2,74,990",https://amazon.in//ASUS-14900HX-40-64cm-Gaming-G634JZR-CM932WS/dp/B0CV17QD1G/ref=sr_1_119?crid=2GBCZSU9R85XX&dib=eyJ2IjoiMSJ9.PXkbWX6kQRkcVxyeuv9xYiqr5d46MqF83zYcKZqKMJ6rGnwsstLyUL6Cwgr3LHA0_Q3IB4LOWookwCtyom5mhMkbCSliUsyXkGyKwNHR2saJVMNEjnuibsYCUokPR2kWJHObU5KfUOdtqn3dEzMY9AH5nWWm8zjkqrj5GJPya1ooaqvMVHZpA5wg0rCB_BP99uEdq-amllsmBdItBidF28Zz93SY_tY2Cia_HM750aQ.fd6vHIenfa6LZ_Rcl00wzNlSlnI-_aApCXzSBxrLySo&dib_tag=se&keywords=Laptop&qid=1732391179&sprefix=laptop%2Caps%2C259&sr=8-119
3,"(Refurbished) Dell Latitude 5490 - 14"" - 8th Gen Intel Core i7-8650U - 8 GB RAM - 256 GB SSD, Windows 10  ","20,300",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1MDk5NjA1OTQyMzIxNjA5OjE3MzIzOTEyMDg6c3BfYXRmX25leHQ6MzAwNDA2NTYwNTI4MzMyOjowOjo&url=%2FRenewed-Dell-Latitude-5490-i7-8650U%2Fdp%2FB09TXR6LV5%2Fref%3Dsr_1_225_sspa%3Fcrid%3D2GBCZSU9R85XX%26dib%3DeyJ2IjoiMSJ9.PJmva1qbrALLXUViB5FZiQuz_S608B1hue7gC95Xr2aAngYGjtMTsEz2QXglOONMwMGBqohJupTeo_OUF6x2Uu-NnzmUDGP_6dfnlgnNUQoYcz0Q77wtuqXRzbJtqlbi8aooyhmHgZ2NoSMTjscFzCA7TOXik5mq2tWSn7Y0j2oixjh7vsUhFx8yXvpLzFDR8CU8VHMEXamfvruu_DseLko6YdUJz9BIbJqhDn6r_Qg.vpYBxojFrLln1QuLOW9n2OVVwpsqExPc_3ewtibDZ3M%26dib_tag%3Dse%26keywords%3DLaptop%26qid%3D1732391208%26sprefix%3Dlaptop%252Caps%252C259%26sr%3D8-225-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
4,"Acer Chromebook CB315-4H Intel Celeron N4500 (Chrome OS/8 GB RAM/128 GB/WiFi 6) 39.6 cm (15.6"") Full HD, Silver, 1.6 KG, 3 Months Google One AI Premium Plan with Gemini Advanced & 2TB Cloud Storage  ","16,490",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1MDk5NjA1OTQyMzIxNjA5OjE3MzIzOTEyMDg6c3BfYXRmX25leHQ6MzAwMzQ2NTIwMjAxMzMyOjowOjo&url=%2FAcer-Chromebook-CB315-4H-Celeron-Advanced%2Fdp%2FB0DH4M1MJ3%2Fref%3Dsr_1_226_sspa%3Fcrid%3D2GBCZSU9R85XX%26dib%3DeyJ2IjoiMSJ9.PJmva1qbrALLXUViB5FZiQuz_S608B1hue7gC95Xr2aAngYGjtMTsEz2QXglOONMwMGBqohJupTeo_OUF6x2Uu-NnzmUDGP_6dfnlgnNUQoYcz0Q77wtuqXRzbJtqlbi8aooyhmHgZ2NoSMTjscFzCA7TOXik5mq2tWSn7Y0j2oixjh7vsUhFx8yXvpLzFDR8CU8VHMEXamfvruu_DseLko6YdUJz9BIbJqhDn6r_Qg.vpYBxojFrLln1QuLOW9n2OVVwpsqExPc_3ewtibDZ3M%26dib_tag%3Dse%26keywords%3DLaptop%26qid%3D1732391208%26sprefix%3Dlaptop%252Caps%252C259%26sr%3D8-226-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
5,"(Refurbished) ASUS TUF Gaming A15, AMD Ryzen 7 7435HS, 15.6-inch FHD 144Hz, Gaming Laptop (16GB/512GB SSD/NVIDIA GeForce RTX 3050/Windows 11/48WHr/Graphite Black/2.3 Kg), FA506NCR-HN054W  ","56,091",https://amazon.in//Refurbished-ASUS-15-6-inch-Graphite-FA506NCR-HN054W/dp/B0DBTX64CG/ref=sr_1_227?crid=2GBCZSU9R85XX&dib=eyJ2IjoiMSJ9.PJmva1qbrALLXUViB5FZiQuz_S608B1hue7gC95Xr2aAngYGjtMTsEz2QXglOONMwMGBqohJupTeo_OUF6x2Uu-NnzmUDGP_6dfnlgnNUQoYcz0Q77wtuqXRzbJtqlbi8aooyhmHgZ2NoSMTjscFzCA7TOXik5mq2tWSn7Y0j2oixjh7vsUhFx8yXvpLzFDR8CU8VHMEXamfvruu_DseLko6YdUJz9BIbJqhDn6r_Qg.vpYBxojFrLln1QuLOW9n2OVVwpsqExPc_3ewtibDZ3M&dib_tag=se&keywords=Laptop&qid=1732391208&sprefix=laptop%2Caps%2C259&sr=8-227
6,"(Refurbished) Lenovo ThinkPad 5th Gen Intel Core i5 Thin & Light HD Laptop (8 GB RAM/256 GB SSD/12.5"" (31.8 cm)/Windows 10 Pro/MS Office/WiFi/Bluetooth 4.0/Webcam/Intel HD Graphics)  ","13,700",https://amazon.in//Renewed-Lenovo-ThinkPad-Bluetooth-Graphics/dp/B0B6GF24LR/ref=sr_1_228?crid=2GBCZSU9R85XX&dib=eyJ2IjoiMSJ9.PJmva1qbrALLXUViB5FZiQuz_S608B1hue7gC95Xr2aAngYGjtMTsEz2QXglOONMwMGBqohJupTeo_OUF6x2Uu-NnzmUDGP_6dfnlgnNUQoYcz0Q77wtuqXRzbJtqlbi8aooyhmHgZ2NoSMTjscFzCA7TOXik5mq2tWSn7Y0j2oixjh7vsUhFx8yXvpLzFDR8CU8VHMEXamfvruu_DseLko6YdUJz9BIbJqhDn6r_Qg.vpYBxojFrLln1QuLOW9n2OVVwpsqExPc_3ewtibDZ3M&dib_tag=se&keywords=Laptop&qid=1732391208&sprefix=laptop%2Caps%2C259&sr=8-228
7,"Lenovo ThinkPad E15 Intel Core i5 12th Gen 15.6"" (39.62cm) FHD 250 Nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Backlit/FPR/Black/1.7 kg), 21E6S05B00  ","65,990",https://amazon.in//Lenovo-ThinkPad-39-62cm-Windows-21E6S05B00/dp/B0BYP39PWG/ref=sr_1_229?crid=2GBCZSU9R85XX&dib=eyJ2IjoiMSJ9.PJmva1qbrALLXUViB5FZiQuz_S608B1hue7gC95Xr2aAngYGjtMTsEz2QXglOONMwMGBqohJupTeo_OUF6x2Uu-NnzmUDGP_6dfnlgnNUQoYcz0Q77wtuqXRzbJtqlbi8aooyhmHgZ2NoSMTjscFzCA7TOXik5mq2tWSn7Y0j2oixjh7vsUhFx8yXvpLzFDR8CU8VHMEXamfvruu_DseLko6YdUJz9BIbJqhDn6r_Qg.vpYBxojFrLln1QuLOW9n2OVVwpsqExPc_3ewtibDZ3M&dib_tag=se&keywords=Laptop&qid=1732391208&sprefix=laptop%2Caps%2C259&sr=8-229
8,"HP Victus Gaming Laptop, AMD Ryzen 7 8845HS AI Powered, 6GB RTX 4050 GPU,15.6-inch (39.6 cm),FHD, IPS,144Hz,16GB DDR5,1TB SSD, 300 nits, Win 11,Backlit KB, DTS:X Ultra (MSO, Blue, 2.29 kg), fb2117AX  ","99,490",https://amazon.in//HP-Victus-Powered-15-6-inch-Backlit/dp/B0D7PXTNRX/ref=sr_1_230?crid=2GBCZSU9R85XX&dib=eyJ2IjoiMSJ9.PJmva1qbrALLXUViB5FZiQuz_S608B1hue7gC95Xr2aAngYGjtMTsEz2QXglOONMwMGBqohJupTeo_OUF6x2Uu-NnzmUDGP_6dfnlgnNUQoYcz0Q77wtuqXRzbJtqlbi8aooyhmHgZ2NoSMTjscFzCA7TOXik5mq2tWSn7Y0j2oixjh7vsUhFx8yXvpLzFDR8CU8VHMEXamfvruu_DseLko6YdUJz9BIbJqhDn6r_Qg.vpYBxojFrLln1QuLOW9n2OVVwpsqExPc_3ewtibDZ3M&dib_tag=se&keywords=Laptop&qid=1732391208&sprefix=laptop%2Caps%2C259&sr=8-230
9,"ASUS ROG Strix G16 (2023) 90WHr Battery, Intel Core i7-13650HX 13th Gen, 16"" FHD+ 165Hz, 6GB RTX 4050, Gaming Laptop (16GB/1TB SSD/Windows 11/Office 2021/4-Zone RGB/Gray/2.50 Kg), G614JU-N3200WS  ","1,20,022",https://amazon.in//ASUS-Battery-i7-13650HX-Windows-G614JU-N3200WS/dp/B0C4TVHMR9/ref=sr_1_231?crid=2GBCZSU9R85XX&dib=eyJ2IjoiMSJ9.PJmva1qbrALLXUViB5FZiQuz_S608B1hue7gC95Xr2aAngYGjtMTsEz2QXglOONMwMGBqohJupTeo_OUF6x2Uu-NnzmUDGP_6dfnlgnNUQoYcz0Q77wtuqXRzbJtqlbi8aooyhmHgZ2NoSMTjscFzCA7TOXik5mq2tWSn7Y0j2oixjh7vsUhFx8yXvpLzFDR8CU8VHMEXamfvruu_DseLko6YdUJz9BIbJqhDn6r_Qg.vpYBxojFrLln1QuLOW9n2OVVwpsqExPc_3ewtibDZ3M&dib_tag=se&keywords=Laptop&qid=1732391208&sprefix=laptop%2Caps%2C259&sr=8-231
